event_category_name,facet_type,facet_name,confidence,review_status,note
거란,ACTOR_GROUP,거란,MEDIUM,REVIEW,세력 또는 종족 분류
건축,ACTION_TYPE,건축,MEDIUM,REVIEW,건축 행위 분류
고변/탄핵,POLITICAL_CONTEXT,고변/탄핵,MEDIUM,REVIEW,정치적 고발과 탄핵
공신/훈신,PERSON_ROLE,공신/훈신,MEDIUM,REVIEW,공신과 훈신 인물 분류
공신/훈신) 정쟁(정변,POLITICAL_CONTEXT,공신/훈신 정쟁,MEDIUM,REVIEW,원천 분류명 검수 필요
과거,INSTITUTION,과거,MEDIUM,REVIEW,인사 선발 제도
교육,TOPIC,교육,HIGH,PENDING,교육 주제
국왕,PERSON_ROLE,국왕,HIGH,PENDING,왕실 인물 역할
기관,INSTITUTION,기관,MEDIUM,REVIEW,기관 관련 분류
난신,PERSON_EVALUATION,난신,MEDIUM,REVIEW,인물 평가 분류
노비,SOCIAL_STATUS,노비,HIGH,PENDING,신분 분류
능묘,RITUAL,능묘,HIGH,PENDING,능묘와 매장 의례
명,ACTOR_GROUP,명,MEDIUM,REVIEW,국가 또는 왕조 분류
명신,PERSON_EVALUATION,명신,MEDIUM,REVIEW,인물 평가 분류
몽고,ACTOR_GROUP,몽고,MEDIUM,REVIEW,세력 또는 종족 분류
묘정배향,RITUAL,묘정배향,MEDIUM,REVIEW,종묘 배향 의례
문형,PERSON_ROLE,문형,MEDIUM,REVIEW,관료 인물 역할
민란,POLITICAL_CONTEXT,민란,MEDIUM,REVIEW,정치 사회 동요
민심,POLITICAL_CONTEXT,민심,MEDIUM,REVIEW,정치 사회 분위기
반란,POLITICAL_CONTEXT,반란,HIGH,PENDING,정치적 반란
방비,ACTION_TYPE,방비,HIGH,PENDING,방어 행위
붕당,POLITICAL_CONTEXT,붕당,HIGH,PENDING,정치 세력 맥락
비빈,PERSON_ROLE,비빈,HIGH,PENDING,왕실 인물 역할
사가독서,INSTITUTION,사가독서,MEDIUM,REVIEW,학문 장려 제도
사화,POLITICAL_CONTEXT,사화,HIGH,PENDING,정치 사건 맥락
상신,PERSON_ROLE,상신,MEDIUM,REVIEW,관료 인물 역할
세자,PERSON_ROLE,세자,HIGH,PENDING,왕실 인물 역할
예송,POLITICAL_CONTEXT,예송,MEDIUM,REVIEW,정치 사상 논쟁
옥사,JUDICIAL_CONTEXT,옥사,HIGH,PENDING,사법 사건
왜(변)란,TOPIC,왜란,HIGH,PENDING,전쟁 주제
원,ACTOR_GROUP,원,MEDIUM,REVIEW,국가 또는 왕조 분류
유배,JUDICIAL_CONTEXT,유배,HIGH,PENDING,형벌 또는 사법 조치
유일,PERSON_EVALUATION,유일,MEDIUM,REVIEW,인물 평가 분류
유종,PERSON_EVALUATION,유종,MEDIUM,REVIEW,인물 평가 분류
유현,PERSON_EVALUATION,유현,MEDIUM,REVIEW,인물 평가 분류
인물기타,PERSON_GROUP,인물기타,MEDIUM,REVIEW,인물 일반 분류
일본,ACTOR_GROUP,일본,HIGH,PENDING,국가 또는 외교 대상
전쟁,TOPIC,전쟁,HIGH,PENDING,전쟁 주제
절신,PERSON_EVALUATION,절신,MEDIUM,REVIEW,인물 평가 분류
정벌,ACTION_TYPE,정벌,HIGH,PENDING,군사 원정 행위
정변,POLITICAL_CONTEXT,정변,HIGH,PENDING,정치 변동
정치인,PERSON_ROLE,정치인,HIGH,PENDING,정치 인물 역할
정치일반,TOPIC,정치일반,HIGH,PENDING,정치 주제
제도개혁,ACTION_TYPE,제도개혁,MEDIUM,REVIEW,제도 개혁 행위
조세,TOPIC,조세,HIGH,PENDING,조세 주제
종교,TOPIC,종교,HIGH,PENDING,종교 주제
종실,PERSON_ROLE,종실,HIGH,PENDING,왕실 인물 역할
처결,JUDICIAL_CONTEXT,처결,MEDIUM,REVIEW,사법 처리 또는 처벌
천도,ACTION_TYPE,천도,MEDIUM,REVIEW,수도 이동 행위
청,ACTOR_GROUP,청,MEDIUM,REVIEW,국가 또는 왕조 분류
출판,TOPIC,출판,HIGH,PENDING,출판 주제
풍속,TOPIC,풍속,HIGH,PENDING,풍속 주제
호란,TOPIC,호란,HIGH,PENDING,전쟁 주제
