case_id,case_type,start_id,middle_id,target_id,property_name,expected_value,expected_count,description
ROYAL_GWANGHAE_PRECURSOR,ROYAL_ACTION_PATH,AKS_ENTITY:E0005335,,AKS_ENTITY:E0014246,action_type,PILOTED_PRECURSOR,1,광해군은 대동법의 선행 시험 형태와 연결
ROYAL_GWANGHAE_NOT_DIRECT,ROYAL_ACTION_PATH,AKS_ENTITY:E0005335,,AKS_ENTITY:E0014246,action_type,IMPLEMENTED,0,광해군을 대동법 직접 시행자로 단정하지 않음
ROYAL_HYOJONG_DAEDONG,ROYAL_ACTION_PATH,AKS_ENTITY:E0065706,,AKS_ENTITY:E0014246,action_type,REIMPLEMENTED_AND_EXPANDED,1,효종 재위 맥락의 대동법 재실시와 확대
ROYAL_SEJO_GYEONGGUK_START,ROYAL_ACTION_PATH,AKS_ENTITY:E0029849,,AKS_ENTITY:E0002296,action_type,INITIATED_COMPILATION,1,세조는 경국대전 편찬 착수
ROYAL_SEJO_NOT_GYEONGGUK_COMPLETE,ROYAL_ACTION_PATH,AKS_ENTITY:E0029849,,AKS_ENTITY:E0002296,action_type,COMPLETED_AND_PROMULGATED,0,세조를 경국대전 최종 완성자로 연결하지 않음
ROYAL_SEONGJONG_GYEONGGUK_COMPLETE,ROYAL_ACTION_PATH,AKS_ENTITY:E0029554,,AKS_ENTITY:E0002296,action_type,COMPLETED_AND_PROMULGATED,1,성종은 경국대전 완성 반포
ROYAL_MUNJONG_NOT_GYEONGGUK_COMPLETE,ROYAL_ACTION_PATH,AKS_ENTITY:E0019665,,AKS_ENTITY:E0002296,action_type,COMPLETED_AND_PROMULGATED,0,조선 문종을 경국대전 완성자로 연결하지 않음
ROYAL_SEJONG_HANGEUL_CREATE,ROYAL_ACTION_PATH,AKS_ENTITY:E0029857,,AKS_ENTITY:E0061508,action_type,CREATED,1,세종은 한글 문자 개념 창제와 연결
ROYAL_SEJONG_HANGEUL_PROMULGATE,ROYAL_ACTION_PATH,AKS_ENTITY:E0029857,,AKS_ENTITY:E0061508,action_type,PROMULGATED,1,세종은 한글 반포와 연결
ROYAL_SEJONG_HUNMIN_PREFACE,ROYAL_ACTION_PATH,AKS_ENTITY:E0029857,,AKS_ENTITY:E0065805,action_type,AUTHORED_ROYAL_PREFACE,1,세종은 훈민정음 해례본 어제서문과 연결
ROYAL_SEONDEOK_CHEOMSEONGDAE,ROYAL_ACTION_PATH,AKS_ENTITY:E0028652,,AKS_ENTITY:E0002925,action_type,CONSTRUCTION_TRADITION,1,선덕여왕 때 첨성대 축조 전승
ROYAL_JANGSU_GWANGGAETO_STELE,ROYAL_ACTION_PATH,AKS_ENTITY:E0048605,,AKS_ENTITY:E0005058,action_type,ERECTED,1,장수왕이 광개토왕릉비를 건립
ROYAL_GWANGGAETO_NOT_ERECTOR,ROYAL_ACTION_PATH,AKS_ENTITY:E0005057,,AKS_ENTITY:E0005058,action_type,ERECTED,0,광개토왕을 자기 능비 건립자로 연결하지 않음
REIGN_GWANGHAE_JOSEON,REIGN_PATH,AKS_ENTITY:E0005335,,AKS_POLITY_JOSEON,,,1,광해군 재위는 조선 국가와 연결
HERITAGE_GYEONGJU_CHEOMSEONGDAE,HERITAGE_PROPERTY,,,AKS_ENTITY:E0002925,heritage_kind,ASTRONOMICAL_FACILITY,1,경주 첨성대는 천문 의례 실물 문화유산
HERITAGE_GENERIC_CHEOMSEONGDAE_ABSENT,HERITAGE_ABSENT,,,AKS_ENTITY:E0056197,,,0,일반 첨성대 개념은 실물 문화유산이 아님
HERITAGE_GWANGGAETO_STELE,HERITAGE_PROPERTY,,,AKS_ENTITY:E0005058,heritage_kind,STELE,1,광개토왕릉비는 비석 실물
HERITAGE_HUNMIN_DOCUMENT,HERITAGE_PROPERTY,,,AKS_ENTITY:E0065805,heritage_form,DOCUMENT,1,훈민정음 해례본은 문헌 문화유산
IMAGE_CHEOMSEONGDAE_DEPICTS,IMAGE_RELATION_PATH,HISTORY_SOURCE_IMAGE:ki_020_14000,,AKS_ENTITY:E0002925,,,1,경주 첨성대 이미지는 실물 문화유산을 묘사
IMAGE_CHUNGJU_NOT_GWANGGAETO,IMAGE_RELATION_PATH,HISTORY_SOURCE_IMAGE:ki_020_02000,,AKS_ENTITY:E0005058,,,0,충주 고구려비 관련콘텐츠 문구로 광개토왕릉비 이미지를 만들지 않음
INSCRIPTION_GWANGGAETO_SOURCE_PATH,INSCRIPTION_SOURCE_PATH,HISTORY_SOURCE_TEXT:hm_009_0040,INSCRIPTION_CONTENT:12594468,AKS_ENTITY:E0005058,,,1,번역 원문 사료에서 비문 내용을 거쳐 비석 실물로 연결
