gold_case_order,gold_case_id,term_review_task_id,resolution_case_id,canonical_term,category,entity_type_proposal,problem_count,candidate_count,source_count,code_alternative_count,candidate_count_bucket,retrieval_profile,multi_source_supported,conflict_pair_count,problem_context_samples_json,gold_link_status,requires_problem_review,gold_decision_reason,reviewer,case_review_status
1,gold-case:52ac2a4d5bb6963a155f,term-review-task:c4b6e0dcfe7ddcbb3b7c,resolution-case:8007b2d75e6c74a82791,향토 예비군의 날,제도,Concept,1,5,2,4,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_1474"", ""full_text"": ""한국사 교양 강좌 기념일에 담긴 일제 강점기 사회ㆍ문화 우리 학회에서는 일제 강점기의 힘든 현실 속에서도 우리 민족이 기리기 시작한 기념일을 중심으로 당시의 사회와 문화를 살펴보는 강연을 마련하였다. 많은 관심과 참여 바랍니다. [제1강] 어린이날 - 어린이에게서 민족의 미래를 보다 [제2강] 메이데이 - 고등 경찰의 경계 속에 첫 노동절 행사가 열리다 [제3강] 과학 데이 - 과학의 대중화를 촉진하다 [제4강] (가) ● 일시: 2026년 ◯ ◯월 ◯ ◯일 10:00~16:00 ● 장소: 학회 소회의실\n(가)에 들어갈 내용으로 가장 적절한 것은?\n제헌절 – 첫 헌법 제정의 의미를 강조하다\n가갸날 – 우리 말과 글의 소중함을 되새기다\n향토 예비군의 날 – 범국민적인 안보의식을 조성하다\n은사의 날 – 스승을 향한 감사와 공경의 마음을 전하다\n이산가족의 날 - 이산가족 문제에 대한 관심을 제고하다""}]",REJECTED,NO,한국사 능력 검정 시험에서 사용할 것 같지 않은 용어,MK,COMPLETE
2,gold-case:15f38e2c61e53a062f5e,term-review-task:cda55c4f003829a5435e,resolution-case:4d6893ef841958a21671,남한 대토벌 작전,사건,Event,2,5,2,3,C03_05,EXACT_AND_EXPANDED,True,2,"[{""problem_id"": ""cj_v41_1414"", ""full_text"": ""특별 전시 (가) , 기록으로 되살아나다 부패한 지배층과 외세의 침략에 맞서 새로운 세상을 꿈꾸며 봉기했던 (가) 관련 기록물이 세계 기록 유산으로 등재된 것을 기념하여 특별전을 개최합니다. 많은 관람 부탁드립니다. •기간: 2025. . . ~ . . •장소: △△ 박물관 특별 전시실 •주요 전시 자료 ▲ 전봉준 공초 ▲ 갑오군정실기 ▲ 사발통문\n(가) 운동에 대한 설명으로 옳은 것은?\n집강소를 중심으로 폐정 개혁안을 실천하였다.\n일본의 황무지 개간권 요구를 저지하였다.\n조선 총독부의 방해와 탄압으로 중단되었다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n상황 수습을 위해 박규수가 안핵사로 파견되었다.""}, {""problem_id"": ""cj_v41_1472"", ""full_text"": ""국민부는 중국의 반일 단체와 연락을 취하여 대규모 항일 행동을 계획하였지만, 각지의 일본 경관대에게 단원이 검거되고 무기를 압수당하여 세력이 꺾였다. 그러나 당시 이를 피한 양세봉, 양하산 등 주요 인물이 흩어졌던 단원을 모아 국민부 산하의 무장 단체를 재편하여 행동을 재개하였다. 총사령관 양세봉의 지휘 아래 이 부대는 대도회 등과 함께 한중 연합군을 편성하여 소양구에 이어 영릉가를 점령하였다.\n밑줄 그은 ‘이 부대’에 대한 설명으로 옳은 것은?\n일본군의 공세를 피해 자유시로 이동하였다.\n흥경성 전투에서 일본군을 격퇴하였다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n영국군의 요청으로 인도·미얀마 전선에 파견되었다.\n한국인 유격대를 중심으로 조국 광복회를 조직하였다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
3,gold-case:f18f430586a90fa5f255,term-review-task:642bd465f60e74fe10c1,resolution-case:36ccf7c06312cbbe1a84,쌍영총,유적,Heritage,2,3,2,1,C03_05,EXACT_AND_EXPANDED,True,1,"[{""problem_id"": ""cj_v41_1197"", ""full_text"": ""이것은 (가) 의 쌍영총 벽화의 개마 무사 부분 모사도이다. 안악 3호분 등 (가) 의 다른 고분 벽화에서도 개마 무사가 그려져 있어 이 국가의 군사, 무기 등의 모습을 알 수 있다.\n(가) 국가에 대한 설명으로 옳은 것은?\n태학과 경당을 두어 인재를 양성하였다.\n골품에 따라 관등 승진에 제한이 있었다.\n국경 지역인 양계에 병마사를 파견하였다.\n정사암에서 국가의 중대한 일을 결정하였다.\n여러 가(加)들이 별도로 사출도를 주관하였다.""}, {""problem_id"": ""cj_v41_1486"", ""full_text"": ""이것은 =의 쌍영총 벽화 속 공양 행렬을 모사한 것이다. 승려를 앞세워 공양에 나서고 있는 귀족 부인의 모습에서 전진의 승려 순도를 통해 불교가 수용된 이후 ~의 귀족 사회에 불교가 확산되었음을 확인할 수 있다. 4 4\n(가) 국가에 대한 설명으로 옳은 것은?\n지방의 22담로에 왕족을 파견하였다.\n태학과 경당을 두어 인재를 양성하였다.\n월에 무천이라는 제천 행시를 개최하였다.\n사회 질서를 유지하기 위해 범금 8조를 만들었다.\n물시계인 누각을 만들고 누각박시를 두어 시간을 측정하였다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
4,gold-case:b6888b04acd4645f4ce8,term-review-task:fecb5b85c1f368e611fe,resolution-case:597ec0e486a420f4a6a6,신승겸,인물,Person,1,3,2,2,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_0055"", ""full_text"": ""(가) 태조는 정예 기병 5천을 거느리고 공산(公山) 아래에서 견원을 맞아서 크게 싸웠다. 태조의 장수 김락과 신승겸은 죽고 모든 군사가 패배했으며, 태조는 겨우 죽음-을 면하였다. - 삼국유사 - (나) [태조를] 신검의 군대가 막아서자 일리천(-利川)을 사이에 두고 대지하였다. 태조가 견원과 함께 병사들을 사열한 후 … 신검이 00%, 용검 및 문무 관료들과 함께 항복하여 오니, 태조가 그를 위로하였다. - 「고려사절요 -\n(가), (나) 사이의 시기에 있었던 사실로 옳은 것은?\n최승로가 시무 28조를 건의하였다\n경순왕 김부가 경주의 사심관이 되었다.\n대공이 난을 일으키자 귀족들이 동참하였다.\n궁예가 국호를 마진에서 태봉으로 바꾸었다.\n쌍기의 건의를 받아들여 과거제가 시행되었다.""}]",UNRESOLVED,NO,관련 용어 설명이 안나옴,MK,COMPLETE
5,gold-case:1a415f418cbbd2428d7c,term-review-task:0db3d5a12bcfb0a70df2,resolution-case:9e9e45f885561b2577ac,천견충의군,기관,Institution,1,4,2,1,C03_05,EXACT_AND_EXPANDED,True,2,"[{""problem_id"": ""cj_v41_0866"", ""full_text"": ""1 (가) 왕이 보현원 문에 들어서자 … - 이고 등이 왕을 모시던 문관 및 대소 신료, 환관들을 모두 살해하였다. … 정중부 등이 왕을 모시고 환궁하였다. (나) 이자겸과 척준경이 왕을 위협하여 남궁(南宮)으로 거처를 옮기게 하고 안보린, 최탁 등 17인을 죽였다. 이 외에도 죽인 군사가 헤아릴 수 없을 정도였다. (다) 묘청이 서경을 근거지로 삼고 반란을 일으켰다. … - 국호를 대위, 연호를 천개, 그 군대를 천견충의군이라 불렀다\n(가)~(다)를 일어난 순서대로 옳게 나열한 것은?\n(가)-(나)-(다)\n(가)-(다)-(나)\n(나)-(가)-(다)\n(나)-(다)-(가)\n(다)-(가)-(나)""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
6,gold-case:5fcf8549fec5b8b0fd72,term-review-task:5fb0a00092b1066e17c4,resolution-case:98c1b48664a65bb93a0f,불랑기포,유물,Heritage,3,5,2,4,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_0020"", ""full_text"": ""2 이 무기는 불랑기포라고 하는데, 서양에서 명에 전래되었기 때문에 이렇게 불렀습니다. 불랑기포는 당시 조 - 명 연합군이 일본군으로부터 평양성을 탈환하는 데 기여하였다\n(가) 전쟁 중 있었던 사실로 옳은 것은?\n김상용이 강화도에서 순절하였다.\n정봉수가 용골산성에서 항쟁하였다.\n최영이 홍산 전투에서 큰 승리를 거두었다.\n김시민이 진주성에서 적군을 크게 물리쳤다.\n이종무가 적의 근거지인 쓰시마를 정벌하였다.""}, {""problem_id"": ""cj_v41_0683"", ""full_text"": ""역사 인물 다큐멘터리 기획안 화약 무기 연구의 선구자, ○○○ 1. 기획 의도 중국의 군사 기밀이었던 화약 제조 기술을 습득해 우리나라 최초로 화약의 자체 생산에 성공한 인물의 활동을 통해 국방 과학 기술의 중요성을 되새겨 본다. 2. 주요 장면 (가) 중국인 이원에게 염초 제조법을 배우다. (나) 나세, 심덕부 등과 함께 진포에서 왜구를 크게 격퇴하다.\n(가)에 들어갈 내용으로 가장 적절한 것은?\n신기전과 화차를 개발하다\n화통도감의 설치를 건의하다\n불랑기포를 활용하여 평양성을 탈환하다\n조총 부대를 이끌고 나선 정벌에 참여하다\n발화 장치를 활용한 비격진천뢰를 발명하다""}, {""problem_id"": ""cj_v41_0970"", ""full_text"": ""조·명 연합군, 평양성 탈환 평안도 도체찰사 류성룡, 도원수 김명원이 이끄는 관군이 명 제독 이여송 부대에 합세하여 평양성을 되찾았다 이번 전 투에서 아군의 불랑기포를 비롯한 화포가 위력을 발휘하여 일본 군은 크게 패하고 남쪽으로 내려갔다. 이 전투의 승리는 향후 전 쟁의 판도를 바꿀 것으로 기대된다\n다음 기사에 보도된 전투 이후의 사실로 옳은 것은?\n송상현이 동래성에서 항전하였다.\n권율이 행주산성에서 적군을 격퇴하였다.\n이순신이 한산도 앞바다에서 대승을 거두었다.\n신립이 탄금대 앞에서 배수의 진을 치고 싸웠다.\n최윤덕이 올라산성에서 이만주 부대를 정벌하였다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
7,gold-case:6d7d6c93345ade424c9c,term-review-task:65f002f4455283779607,resolution-case:e117f406c236b8d147d7,흐경국 중앙 총상회,단체,Organization,1,3,2,2,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_1509"", ""full_text"": ""오는 7월 1일부터 경성 화폐교환소에서 구 백동화 교환 사무를 시작하니, 혼잡을 예방하고 서로의 편의를 도모하기 위하여 청원 방법을 다음과 같이 정하였다. 교흰을 청구하고자 하는 자는 이 뜻을 준수하도록 한다. 광무 9년 6월 29일 탁지부 대신 제1항 구 백동화 교흰을 청구하고자 하는 자는 미리 제1호 서식의 청원서에 교환하고자 하는 액수와 청원인의 거주지 • 성명 및 청원 연•월•일을 기입하여 탁지부 내 화폐교환소에 제출하도록 한다. 제4항 제1항의 청원은 1일 1인에 대하여 교환 청구액이 1천 원 이상 1만 원 이하여야 한다. 단, 금년 10월 1일 이후에는 1천 원 이하인 자라도 청원할 수 있다.\n다음 자료를 활용한 탐구 활동으로 가장 적절한 것은?\n삼국 간섭이 발생한 원인을 분석한다.\n삼정이정청이 설지된 목적을 살펴본다.\n흐경국 중앙 총상회가 설립된 배경을 파악한다.\n재정 고문 메가타가 주도한 정책을 찾아본다.\n조미 수호 통상 조약이 체결되는 과정을 조사한다.""}]",AMBIGUOUS,NO,상류 입력 표기 오류 추정,MK,COMPLETE
8,gold-case:32e20fbb4c7dc100e567,term-review-task:09cacb3686d655af2481,resolution-case:f2d9e2bb31148330da80,가구영험불정존승다라니기,문헌,Work,1,5,2,3,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_0338"", ""full_text"": ""오늘 소개해 주실 자료는 무엇인가요? 이것은 일본의 이시야마사에 소장된 가구영험불정존승다라니기이다. 해동성국이라 불린 (가)의 사신 이거정이 가져간 것으로, 당시 양국의 교류와 불교문화를 엿볼 수 있는 중요한 자료로 평가받고 있다.\n(가) 국가에 대한 설명으로 옳은 것은?\n광군을 창설하여 외침에 대비하였다.\n9서당 10정의 군사 조직을 운영하였다.\n광덕, 준풍 등의 독자적인 연호를 사용하였다.\n5경 15부 62주의 지방 행정 제도를 갖추었다.\n지방관을 감찰하기 위해 외사정을 파견하였다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
9,gold-case:c4f3b8f7fe21d151cc6c,term-review-task:6866f8ef1a3840b7acfa,resolution-case:63a2d23e118ff46ff643,교복 자율화 조치,정책,Concept,1,2,1,1,C01_02,EXPANDED_ONLY,False,1,"[{""problem_id"": ""cj_v41_1285"", ""full_text"": ""이것은 통일 주체 국민 회의에서 대통령을 선출하도록 헌법을 개정한 (가) 정부의 홍보물이다. “우리 모두 불굴의 투지와 굳은 단결로써 조국의 안정과 번영, 그리고 평화 통일을 위해 전진합시다.\""라는 문구 등으로 헌법을 미화하였다. 乶 必& 출훼전쯔!\n(가) 정부 시기에 볼 수 있는 모습으로 가장 적절한 것은?\n거리에서 장발과 미니스커트를 단속하는 경찰\n교복 자율화 조치로 사복을 입고 등교하는 학생\n금융 실명제에 따라 신분증 제시를 요구하는 은행원\n칠레와의 자유 무역 협정(FTA) 비준을 보도하는 기자\n전국 민주 노동조합 총연맹 창립 대회에 참가하는 노동 자""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
10,gold-case:174fb296d31b9f2fc1cb,term-review-task:e3491f7fcf3cc7c69c96,resolution-case:2ecad02e2943310c8a6f,허정 과도 정부,국가,Polity,6,5,2,3,C03_05,EXACT_AND_EXPANDED,True,2,"[{""problem_id"": ""cj_v41_0557"", ""full_text"": ""우리는 조국 흥망의 관두(曰에서 이 위기를 극복하기 위해 오직 민족 자결 원칙에 의하여 조국의 남뿌통일과 민주 독립을 촉진해야 겠다. 우리 민족자주연맹 중앙집행위원회는 김구 선생과 김규식 박사의가인에 의하여 실현되는 남북 정치 협상을 전적으로 지지 하며, 아울러 그 성공을 위하여 적극적으로 협력할 것을 결의한다 관두: 가장 중요한 지점\n다음 자료의 상황이 나타나게 된 배경으로 적절한 것은?\n허정 과도 정부에서 헌법이 개정되었다.\n통일 주체 국민 회의에서 대통령이 선출되었다.\n유엔 소총회에서 남한만의 단독 총선거가 결의되었다.\n유상 매수, 유상 분배 원칙의 농지 개혁법이 제정되었다.\n국가 보안법 개정안을 통과시킨 보안법 파동이 일어났다.""}, {""problem_id"": ""cj_v41_0709"", ""full_text"": ""전국의 언른인 여러군! 지금 광주에서는 젊은 대학생들과 시민들이 피를 홀리며 싸우고 있다 대학생들의 평화적 시위를 질서 유지, 진압이라는 명목 아래 저 잔인한 공수 부대를 투입하여 시민과 학생을 무차별 살육 하였고 더군다나 발포 명령까지 내렸던 것이다. ------ 그러나 일부 언론은 순수한광주 시민의 의거를 불순배의 선동이니, 폭도의 소행이니, 난동이니 하여 몰아부치고만 있다. - - 이번 광주 의거를 몇십 년 뒤의 자건 비화나 남기고 싶은 이야기-들로 만들지 않기 위해, 시실 그대로보도하여 주시기를 수많은 사망자의 피맺힌 원혼-과 광주 시민의 이름으로 간절히, 간절히 촉구하는 바이다.\n다음 자료에 나타난 민주화 운동에 대한 설명으로 옳은 것은?\n허정 과도 정부가 출범하는 계기가 되었다.\n굴욕적인 한일 국교 정상화에 반대하였다.\n호헌 철폐, 독재 타도 등의 구호를 외쳤다.\n3·15 부정 선거에 항의하며 시위가 시작되었다.\n관련 기록물이 유네스코 세계 기록 유산으로 등재되었다.""}, {""problem_id"": ""cj_v41_0754"", ""full_text"": ""이 개헌안에 따라 허정 과도 정부가 총선을 실시하면 정국에 이번에 여야 합의로 내각 책임제 개헌안이 통과되었군. 많은 변화가 있을 것 같네.\n'개헌안'이 발표된 이후의 사실로 옳은 것은?\n반민족 행위 처벌법이 제정되었다.\n제2차 미소 공동 위원회가 결렬되었다.\n국회가 민의원과 참의원의 양원제로 운영되었다.\n평화 통일론을 주장한 진보당의 조봉암이 구속되었다.\n유상 매수, 유상 분배 원칙의 농지 개혁법이 제정되었다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
