gold_case_order,gold_case_id,term_review_task_id,resolution_case_id,canonical_term,category,problem_context_samples_json,source_candidate_id,source_record_id,source,candidate_rank,matched_name,matched_field,retrieval_method,retrieval_score,category_compatibility,normalized_names_json,hanja_json,era_values_json,birth_year,death_year,bonkwan_json,source_entity_type_proposal,source_context_json,candidate_pair_signals_json,gold_candidate_role,gold_alternative_key,gold_display_name,gold_entity_type,gold_related_entity_key,gold_related_display_name,gold_related_entity_type,gold_reason
1,gold-case:52ac2a4d5bb6963a155f,term-review-task:c4b6e0dcfe7ddcbb3b7c,resolution-case:8007b2d75e6c74a82791,향토 예비군의 날,제도,"[{""problem_id"": ""cj_v41_1474"", ""full_text"": ""한국사 교양 강좌 기념일에 담긴 일제 강점기 사회ㆍ문화 우리 학회에서는 일제 강점기의 힘든 현실 속에서도 우리 민족이 기리기 시작한 기념일을 중심으로 당시의 사회와 문화를 살펴보는 강연을 마련하였다. 많은 관심과 참여 바랍니다. [제1강] 어린이날 - 어린이에게서 민족의 미래를 보다 [제2강] 메이데이 - 고등 경찰의 경계 속에 첫 노동절 행사가 열리다 [제3강] 과학 데이 - 과학의 대중화를 촉진하다 [제4강] (가) ● 일시: 2026년 ◯ ◯월 ◯ ◯일 10:00~16:00 ● 장소: 학회 소회의실\n(가)에 들어갈 내용으로 가장 적절한 것은?\n제헌절 – 첫 헌법 제정의 의미를 강조하다\n가갸날 – 우리 말과 글의 소중함을 되새기다\n향토 예비군의 날 – 범국민적인 안보의식을 조성하다\n은사의 날 – 스승을 향한 감사와 공경의 마음을 전하다\n이산가족의 날 - 이산가족 문제에 대한 관심을 제고하다""}]",source-candidate:5ff30242dcc344b39043,AKS:ARTICLE:E0006150:sha256-704d8ea620c542f5,AKS,1,향토 예비군의 날,body,body_mention,1.0,COMPATIBLE,"[""국군""]","[""國軍""]","[""현대""]",,,[],Concept,"{""headword"": ""국군"", ""origin"": ""國軍"", ""headword_origin"": ""국군(國軍)"", ""primary_type"": ""제도/법령·제도"", ""era"": ""현대"", ""definition"": ""대한민국의 국방을 책임질 국민의 군대."", ""snippet"": ""의 병력이 파월되어 전투경험을 쌓았으며, 주월 한국군의 막강함을 세계만방에 과시하였다. (1) 향토예비군의 창설 북한은 공산통일의 하나로 1964년부터 무장공비의 침투를 증가시켜 왔다. 1967년에""}",[],,,,,,,,
1,gold-case:52ac2a4d5bb6963a155f,term-review-task:c4b6e0dcfe7ddcbb3b7c,resolution-case:8007b2d75e6c74a82791,향토 예비군의 날,제도,"[{""problem_id"": ""cj_v41_1474"", ""full_text"": ""한국사 교양 강좌 기념일에 담긴 일제 강점기 사회ㆍ문화 우리 학회에서는 일제 강점기의 힘든 현실 속에서도 우리 민족이 기리기 시작한 기념일을 중심으로 당시의 사회와 문화를 살펴보는 강연을 마련하였다. 많은 관심과 참여 바랍니다. [제1강] 어린이날 - 어린이에게서 민족의 미래를 보다 [제2강] 메이데이 - 고등 경찰의 경계 속에 첫 노동절 행사가 열리다 [제3강] 과학 데이 - 과학의 대중화를 촉진하다 [제4강] (가) ● 일시: 2026년 ◯ ◯월 ◯ ◯일 10:00~16:00 ● 장소: 학회 소회의실\n(가)에 들어갈 내용으로 가장 적절한 것은?\n제헌절 – 첫 헌법 제정의 의미를 강조하다\n가갸날 – 우리 말과 글의 소중함을 되새기다\n향토 예비군의 날 – 범국민적인 안보의식을 조성하다\n은사의 날 – 스승을 향한 감사와 공경의 마음을 전하다\n이산가족의 날 - 이산가족 문제에 대한 관심을 제고하다""}]",source-candidate:f0270dd68a59e39655d2,AKS:ARTICLE:E0062995:sha256-704d8ea620c542f5,AKS,2,향토 예비군의 날,body,body_mention,1.0,COMPATIBLE,"[""rokrf"", ""예비군"", ""향토예비군""]","[""鄕土豫備軍""]","[""현대""]",,,[],Concept,"{""headword"": ""향토예비군"", ""aliases"": [""예비군"", ""ROKRF""], ""origin"": ""鄕土豫備軍"", ""headword_origin"": ""향토예비군(鄕土豫備軍)"", ""primary_type"": ""제도/법령·제도"", ""era"": ""현대"", ""definition"": ""대한민국의 예비전력."", ""snippet"": ""병참선(군수. 보급품지원 통로나 보급체계) 등의 경비, ⑤ 「민방위기본법」에 의한 민방위 업무의 지원이다. 예비군의 조직은 「병역법」의 규정에 따라 대한민국 국민으로써 지원자 중 선발하여 조직하지만, 향토를 방위하""}","[{""left_source_candidate_id"": ""source-candidate:3225dc37298598ac3ee6"", ""right_source_candidate_id"": ""source-candidate:f0270dd68a59e39655d2"", ""signals"": [""normalized_name_match"", ""hanja_match"", ""era_overlap""], ""conflicts"": [], ""merge_eligible"": true}]",,,,,,,,
1,gold-case:52ac2a4d5bb6963a155f,term-review-task:c4b6e0dcfe7ddcbb3b7c,resolution-case:8007b2d75e6c74a82791,향토 예비군의 날,제도,"[{""problem_id"": ""cj_v41_1474"", ""full_text"": ""한국사 교양 강좌 기념일에 담긴 일제 강점기 사회ㆍ문화 우리 학회에서는 일제 강점기의 힘든 현실 속에서도 우리 민족이 기리기 시작한 기념일을 중심으로 당시의 사회와 문화를 살펴보는 강연을 마련하였다. 많은 관심과 참여 바랍니다. [제1강] 어린이날 - 어린이에게서 민족의 미래를 보다 [제2강] 메이데이 - 고등 경찰의 경계 속에 첫 노동절 행사가 열리다 [제3강] 과학 데이 - 과학의 대중화를 촉진하다 [제4강] (가) ● 일시: 2026년 ◯ ◯월 ◯ ◯일 10:00~16:00 ● 장소: 학회 소회의실\n(가)에 들어갈 내용으로 가장 적절한 것은?\n제헌절 – 첫 헌법 제정의 의미를 강조하다\n가갸날 – 우리 말과 글의 소중함을 되새기다\n향토 예비군의 날 – 범국민적인 안보의식을 조성하다\n은사의 날 – 스승을 향한 감사와 공경의 마음을 전하다\n이산가족의 날 - 이산가족 문제에 대한 관심을 제고하다""}]",source-candidate:5288a360dee3716e143a,AKS:ARTICLE:E0062996:sha256-704d8ea620c542f5,AKS,3,향토 예비군의 날,body,body_mention,1.0,COMPATIBLE,"[""예비군의날""]","[""豫備軍""]","[""현대""]",,,[],Concept,"{""headword"": ""예비군의 날"", ""origin"": ""豫備軍의 날"", ""headword_origin"": ""예비군의 날(豫備軍의 날)"", ""primary_type"": ""제도/법령·제도"", ""era"": ""현대"", ""definition"": ""향토 방위의 임무를 새롭게 다짐하고, 범국민적인 안보의식과 향토애를 통한 방위 체제를 더욱 공고히 하기 위하여 지정한 날."", ""snippet"": ""1일 대전공설운동장에서 향토예비군 창설식을 가진 뒤, 1970년부터 4월 첫째 토요일에 ‘향토예비군의 날’ 기념식을 거행해오고 있다. 이 날은 예비군의 노고를 치하하고 사기를 진작시키기 위하여 모범예""}",[],,,,,,,,
1,gold-case:52ac2a4d5bb6963a155f,term-review-task:c4b6e0dcfe7ddcbb3b7c,resolution-case:8007b2d75e6c74a82791,향토 예비군의 날,제도,"[{""problem_id"": ""cj_v41_1474"", ""full_text"": ""한국사 교양 강좌 기념일에 담긴 일제 강점기 사회ㆍ문화 우리 학회에서는 일제 강점기의 힘든 현실 속에서도 우리 민족이 기리기 시작한 기념일을 중심으로 당시의 사회와 문화를 살펴보는 강연을 마련하였다. 많은 관심과 참여 바랍니다. [제1강] 어린이날 - 어린이에게서 민족의 미래를 보다 [제2강] 메이데이 - 고등 경찰의 경계 속에 첫 노동절 행사가 열리다 [제3강] 과학 데이 - 과학의 대중화를 촉진하다 [제4강] (가) ● 일시: 2026년 ◯ ◯월 ◯ ◯일 10:00~16:00 ● 장소: 학회 소회의실\n(가)에 들어갈 내용으로 가장 적절한 것은?\n제헌절 – 첫 헌법 제정의 의미를 강조하다\n가갸날 – 우리 말과 글의 소중함을 되새기다\n향토 예비군의 날 – 범국민적인 안보의식을 조성하다\n은사의 날 – 스승을 향한 감사와 공경의 마음을 전하다\n이산가족의 날 - 이산가족 문제에 대한 관심을 제고하다""}]",source-candidate:3225dc37298598ac3ee6,THESAURUS:TERM:20945:sha256-1022516a18f91e61,THESAURUS,4,향토예비군,name,bidirectional_containment,0.599524,UNKNOWN,"[""향토예비군""]","[""鄕土豫備軍""]","[""현대""]",,,[],,"{""term_name"": ""향토예비군"", ""hanja"": ""鄕土豫備軍"", ""era"": ""현대"", ""thesaurus_category"": ""국방·군사>군>특수군"", ""description"": ""향토방위를 위하여 조직된 한국의 비정규군(非正規軍)."", ""term_year"": ""1968-?""}","[{""left_source_candidate_id"": ""source-candidate:3225dc37298598ac3ee6"", ""right_source_candidate_id"": ""source-candidate:f0270dd68a59e39655d2"", ""signals"": [""normalized_name_match"", ""hanja_match"", ""era_overlap""], ""conflicts"": [], ""merge_eligible"": true}]",,,,,,,,
1,gold-case:52ac2a4d5bb6963a155f,term-review-task:c4b6e0dcfe7ddcbb3b7c,resolution-case:8007b2d75e6c74a82791,향토 예비군의 날,제도,"[{""problem_id"": ""cj_v41_1474"", ""full_text"": ""한국사 교양 강좌 기념일에 담긴 일제 강점기 사회ㆍ문화 우리 학회에서는 일제 강점기의 힘든 현실 속에서도 우리 민족이 기리기 시작한 기념일을 중심으로 당시의 사회와 문화를 살펴보는 강연을 마련하였다. 많은 관심과 참여 바랍니다. [제1강] 어린이날 - 어린이에게서 민족의 미래를 보다 [제2강] 메이데이 - 고등 경찰의 경계 속에 첫 노동절 행사가 열리다 [제3강] 과학 데이 - 과학의 대중화를 촉진하다 [제4강] (가) ● 일시: 2026년 ◯ ◯월 ◯ ◯일 10:00~16:00 ● 장소: 학회 소회의실\n(가)에 들어갈 내용으로 가장 적절한 것은?\n제헌절 – 첫 헌법 제정의 의미를 강조하다\n가갸날 – 우리 말과 글의 소중함을 되새기다\n향토 예비군의 날 – 범국민적인 안보의식을 조성하다\n은사의 날 – 스승을 향한 감사와 공경의 마음을 전하다\n이산가족의 날 - 이산가족 문제에 대한 관심을 제고하다""}]",source-candidate:d190bd27b3fc6efeffd9,AKS:ARTICLE:E0006156:sha256-704d8ea620c542f5,AKS,5,국군의 날,name,name_ngram,0.290152,COMPATIBLE,"[""국군의날""]","[""國軍""]","[""현대""]",,,[],Concept,"{""headword"": ""국군의 날"", ""origin"": ""國軍의 날"", ""headword_origin"": ""국군의 날(國軍의 날)"", ""primary_type"": ""제도/법령·제도"", ""era"": ""현대"", ""definition"": ""한국군의 위용과 전투력을 국내외에 과시하고 국군장병의 사기를 높이기 위하여 지정된 기념일.""}",[],,,,,,,,
2,gold-case:15f38e2c61e53a062f5e,term-review-task:cda55c4f003829a5435e,resolution-case:4d6893ef841958a21671,남한 대토벌 작전,사건,"[{""problem_id"": ""cj_v41_1414"", ""full_text"": ""특별 전시 (가) , 기록으로 되살아나다 부패한 지배층과 외세의 침략에 맞서 새로운 세상을 꿈꾸며 봉기했던 (가) 관련 기록물이 세계 기록 유산으로 등재된 것을 기념하여 특별전을 개최합니다. 많은 관람 부탁드립니다. •기간: 2025. . . ~ . . •장소: △△ 박물관 특별 전시실 •주요 전시 자료 ▲ 전봉준 공초 ▲ 갑오군정실기 ▲ 사발통문\n(가) 운동에 대한 설명으로 옳은 것은?\n집강소를 중심으로 폐정 개혁안을 실천하였다.\n일본의 황무지 개간권 요구를 저지하였다.\n조선 총독부의 방해와 탄압으로 중단되었다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n상황 수습을 위해 박규수가 안핵사로 파견되었다.""}, {""problem_id"": ""cj_v41_1472"", ""full_text"": ""국민부는 중국의 반일 단체와 연락을 취하여 대규모 항일 행동을 계획하였지만, 각지의 일본 경관대에게 단원이 검거되고 무기를 압수당하여 세력이 꺾였다. 그러나 당시 이를 피한 양세봉, 양하산 등 주요 인물이 흩어졌던 단원을 모아 국민부 산하의 무장 단체를 재편하여 행동을 재개하였다. 총사령관 양세봉의 지휘 아래 이 부대는 대도회 등과 함께 한중 연합군을 편성하여 소양구에 이어 영릉가를 점령하였다.\n밑줄 그은 ‘이 부대’에 대한 설명으로 옳은 것은?\n일본군의 공세를 피해 자유시로 이동하였다.\n흥경성 전투에서 일본군을 격퇴하였다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n영국군의 요청으로 인도·미얀마 전선에 파견되었다.\n한국인 유격대를 중심으로 조국 광복회를 조직하였다.""}]",source-candidate:bfc21f0c9a148c36fcf1,AKS:ARTICLE:E0066314:sha256-704d8ea620c542f5,AKS,1,남한 대토벌 작전,name,exact,1.0,COMPATIBLE,"[""남한대토벌작전""]","[""南韓"", ""大討伐"", ""作戰""]","[""근대"", ""대한제국기""]",,,[],Event,"{""headword"": ""남한 대토벌 작전"", ""origin"": ""南韓 大討伐 作戰"", ""headword_origin"": ""남한 대토벌 작전(南韓 大討伐 作戰)"", ""primary_type"": ""사건/전쟁"", ""era"": ""근대/대한제국기"", ""definition"": ""대한제국기 일제가 국내의 의병세력을 완전히 진압하기 위해 펼친 군사작전.""}","[{""left_source_candidate_id"": ""source-candidate:2447ef3f1ab31b2f37ac"", ""right_source_candidate_id"": ""source-candidate:bfc21f0c9a148c36fcf1"", ""signals"": [""era_overlap""], ""conflicts"": [""entity_type_conflict""], ""merge_eligible"": false}, {""left_source_candidate_id"": ""source-candidate:855052d2840d940d6afe"", ""right_source_candidate_id"": ""source-candidate:bfc21f0c9a148c36fcf1"", ""signals"": [""normalized_name_match"", ""era_overlap""], ""conflicts"": [], ""merge_eligible"": true}]",IDENTITY_MEMBER,ALT_001,남한 대토벌 작전,Event,,,,
2,gold-case:15f38e2c61e53a062f5e,term-review-task:cda55c4f003829a5435e,resolution-case:4d6893ef841958a21671,남한 대토벌 작전,사건,"[{""problem_id"": ""cj_v41_1414"", ""full_text"": ""특별 전시 (가) , 기록으로 되살아나다 부패한 지배층과 외세의 침략에 맞서 새로운 세상을 꿈꾸며 봉기했던 (가) 관련 기록물이 세계 기록 유산으로 등재된 것을 기념하여 특별전을 개최합니다. 많은 관람 부탁드립니다. •기간: 2025. . . ~ . . •장소: △△ 박물관 특별 전시실 •주요 전시 자료 ▲ 전봉준 공초 ▲ 갑오군정실기 ▲ 사발통문\n(가) 운동에 대한 설명으로 옳은 것은?\n집강소를 중심으로 폐정 개혁안을 실천하였다.\n일본의 황무지 개간권 요구를 저지하였다.\n조선 총독부의 방해와 탄압으로 중단되었다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n상황 수습을 위해 박규수가 안핵사로 파견되었다.""}, {""problem_id"": ""cj_v41_1472"", ""full_text"": ""국민부는 중국의 반일 단체와 연락을 취하여 대규모 항일 행동을 계획하였지만, 각지의 일본 경관대에게 단원이 검거되고 무기를 압수당하여 세력이 꺾였다. 그러나 당시 이를 피한 양세봉, 양하산 등 주요 인물이 흩어졌던 단원을 모아 국민부 산하의 무장 단체를 재편하여 행동을 재개하였다. 총사령관 양세봉의 지휘 아래 이 부대는 대도회 등과 함께 한중 연합군을 편성하여 소양구에 이어 영릉가를 점령하였다.\n밑줄 그은 ‘이 부대’에 대한 설명으로 옳은 것은?\n일본군의 공세를 피해 자유시로 이동하였다.\n흥경성 전투에서 일본군을 격퇴하였다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n영국군의 요청으로 인도·미얀마 전선에 파견되었다.\n한국인 유격대를 중심으로 조국 광복회를 조직하였다.""}]",source-candidate:855052d2840d940d6afe,THESAURUS:TERM:39849827:sha256-1022516a18f91e61,THESAURUS,2,남한대토벌작전,name,exact,1.0,UNKNOWN,"[""남한대토벌작전""]","[""南韓大討伐作戰""]","[""근대""]",,,[],,"{""term_name"": ""남한대토벌작전"", ""hanja"": ""南韓大討伐作戰"", ""era"": ""근대"", ""thesaurus_category"": ""사회운동·독립운동>일본제국주의>식민통치 및 정책"", ""description"": ""1909년 9월부터 약 2개월에 걸쳐 호남지역의 의병을 초토화하기 위해 일본군대가 벌인 의병 토벌 작전."", ""term_year"": ""1909""}","[{""left_source_candidate_id"": ""source-candidate:855052d2840d940d6afe"", ""right_source_candidate_id"": ""source-candidate:bfc21f0c9a148c36fcf1"", ""signals"": [""normalized_name_match"", ""era_overlap""], ""conflicts"": [], ""merge_eligible"": true}]",IDENTITY_MEMBER,ALT_001,남한 대토벌 작전,Event,,,,
2,gold-case:15f38e2c61e53a062f5e,term-review-task:cda55c4f003829a5435e,resolution-case:4d6893ef841958a21671,남한 대토벌 작전,사건,"[{""problem_id"": ""cj_v41_1414"", ""full_text"": ""특별 전시 (가) , 기록으로 되살아나다 부패한 지배층과 외세의 침략에 맞서 새로운 세상을 꿈꾸며 봉기했던 (가) 관련 기록물이 세계 기록 유산으로 등재된 것을 기념하여 특별전을 개최합니다. 많은 관람 부탁드립니다. •기간: 2025. . . ~ . . •장소: △△ 박물관 특별 전시실 •주요 전시 자료 ▲ 전봉준 공초 ▲ 갑오군정실기 ▲ 사발통문\n(가) 운동에 대한 설명으로 옳은 것은?\n집강소를 중심으로 폐정 개혁안을 실천하였다.\n일본의 황무지 개간권 요구를 저지하였다.\n조선 총독부의 방해와 탄압으로 중단되었다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n상황 수습을 위해 박규수가 안핵사로 파견되었다.""}, {""problem_id"": ""cj_v41_1472"", ""full_text"": ""국민부는 중국의 반일 단체와 연락을 취하여 대규모 항일 행동을 계획하였지만, 각지의 일본 경관대에게 단원이 검거되고 무기를 압수당하여 세력이 꺾였다. 그러나 당시 이를 피한 양세봉, 양하산 등 주요 인물이 흩어졌던 단원을 모아 국민부 산하의 무장 단체를 재편하여 행동을 재개하였다. 총사령관 양세봉의 지휘 아래 이 부대는 대도회 등과 함께 한중 연합군을 편성하여 소양구에 이어 영릉가를 점령하였다.\n밑줄 그은 ‘이 부대’에 대한 설명으로 옳은 것은?\n일본군의 공세를 피해 자유시로 이동하였다.\n흥경성 전투에서 일본군을 격퇴하였다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n영국군의 요청으로 인도·미얀마 전선에 파견되었다.\n한국인 유격대를 중심으로 조국 광복회를 조직하였다.""}]",source-candidate:2447ef3f1ab31b2f37ac,THESAURUS:TERM:6309949:sha256-1022516a18f91e61,THESAURUS,3,,description,description_containment,0.47,UNKNOWN,"[""박봉석""]","[""朴奉石""]","[""대한제국기""]",,,[],Person,"{""term_name"": ""박봉석"", ""hanja"": ""朴奉石"", ""era"": ""대한제국기"", ""thesaurus_category"": ""인명"", ""description"": ""조선 고종·순종 때 의병. 광주(光州) 출신. 1908년(융희 2) 안규홍(安圭洪) 의병부대에 가담, 이후 남한대토벌작전(南韓大討伐作戰) 때 붙잡혀 교수형을 당함. 건국훈장 독립장이 추서."", ""term_year"": ""1885-1910""}","[{""left_source_candidate_id"": ""source-candidate:2447ef3f1ab31b2f37ac"", ""right_source_candidate_id"": ""source-candidate:a14abbce2fffc6b9daa8"", ""signals"": [], ""conflicts"": [""entity_type_conflict""], ""merge_eligible"": false}, {""left_source_candidate_id"": ""source-candidate:2447ef3f1ab31b2f37ac"", ""right_source_candidate_id"": ""source-candidate:bfc21f0c9a148c36fcf1"", ""signals"": [""era_overlap""], ""conflicts"": [""entity_type_conflict""], ""merge_eligible"": false}]",EVIDENCE_ONLY,,,,REL_002,박봉석,Person,
2,gold-case:15f38e2c61e53a062f5e,term-review-task:cda55c4f003829a5435e,resolution-case:4d6893ef841958a21671,남한 대토벌 작전,사건,"[{""problem_id"": ""cj_v41_1414"", ""full_text"": ""특별 전시 (가) , 기록으로 되살아나다 부패한 지배층과 외세의 침략에 맞서 새로운 세상을 꿈꾸며 봉기했던 (가) 관련 기록물이 세계 기록 유산으로 등재된 것을 기념하여 특별전을 개최합니다. 많은 관람 부탁드립니다. •기간: 2025. . . ~ . . •장소: △△ 박물관 특별 전시실 •주요 전시 자료 ▲ 전봉준 공초 ▲ 갑오군정실기 ▲ 사발통문\n(가) 운동에 대한 설명으로 옳은 것은?\n집강소를 중심으로 폐정 개혁안을 실천하였다.\n일본의 황무지 개간권 요구를 저지하였다.\n조선 총독부의 방해와 탄압으로 중단되었다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n상황 수습을 위해 박규수가 안핵사로 파견되었다.""}, {""problem_id"": ""cj_v41_1472"", ""full_text"": ""국민부는 중국의 반일 단체와 연락을 취하여 대규모 항일 행동을 계획하였지만, 각지의 일본 경관대에게 단원이 검거되고 무기를 압수당하여 세력이 꺾였다. 그러나 당시 이를 피한 양세봉, 양하산 등 주요 인물이 흩어졌던 단원을 모아 국민부 산하의 무장 단체를 재편하여 행동을 재개하였다. 총사령관 양세봉의 지휘 아래 이 부대는 대도회 등과 함께 한중 연합군을 편성하여 소양구에 이어 영릉가를 점령하였다.\n밑줄 그은 ‘이 부대’에 대한 설명으로 옳은 것은?\n일본군의 공세를 피해 자유시로 이동하였다.\n흥경성 전투에서 일본군을 격퇴하였다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n영국군의 요청으로 인도·미얀마 전선에 파견되었다.\n한국인 유격대를 중심으로 조국 광복회를 조직하였다.""}]",source-candidate:7a6dc9f945c1b32c1cf2,THESAURUS:TERM:14683681:sha256-1022516a18f91e61,THESAURUS,4,지리산공비토벌작전,name,name_ngram,0.331667,UNKNOWN,"[""지리산공비토벌작전""]","[""智異山共匪討伐作戰""]","[""현대""]",,,[],,"{""term_name"": ""지리산공비토벌작전"", ""hanja"": ""智異山共匪討伐作戰"", ""era"": ""현대"", ""thesaurus_category"": ""국방·군사>전쟁·전투"", ""description"": ""1950년부터 1956년까지 군경이 지리산 주변에 있던 북한군 낙오병 및 빨치산 토벌을 위한 작전."", ""term_year"": ""1950-1956""}","[{""left_source_candidate_id"": ""source-candidate:7a6dc9f945c1b32c1cf2"", ""right_source_candidate_id"": ""source-candidate:a14abbce2fffc6b9daa8"", ""signals"": [""normalized_name_match"", ""era_overlap""], ""conflicts"": [], ""merge_eligible"": true}]",,,,,,,,
2,gold-case:15f38e2c61e53a062f5e,term-review-task:cda55c4f003829a5435e,resolution-case:4d6893ef841958a21671,남한 대토벌 작전,사건,"[{""problem_id"": ""cj_v41_1414"", ""full_text"": ""특별 전시 (가) , 기록으로 되살아나다 부패한 지배층과 외세의 침략에 맞서 새로운 세상을 꿈꾸며 봉기했던 (가) 관련 기록물이 세계 기록 유산으로 등재된 것을 기념하여 특별전을 개최합니다. 많은 관람 부탁드립니다. •기간: 2025. . . ~ . . •장소: △△ 박물관 특별 전시실 •주요 전시 자료 ▲ 전봉준 공초 ▲ 갑오군정실기 ▲ 사발통문\n(가) 운동에 대한 설명으로 옳은 것은?\n집강소를 중심으로 폐정 개혁안을 실천하였다.\n일본의 황무지 개간권 요구를 저지하였다.\n조선 총독부의 방해와 탄압으로 중단되었다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n상황 수습을 위해 박규수가 안핵사로 파견되었다.""}, {""problem_id"": ""cj_v41_1472"", ""full_text"": ""국민부는 중국의 반일 단체와 연락을 취하여 대규모 항일 행동을 계획하였지만, 각지의 일본 경관대에게 단원이 검거되고 무기를 압수당하여 세력이 꺾였다. 그러나 당시 이를 피한 양세봉, 양하산 등 주요 인물이 흩어졌던 단원을 모아 국민부 산하의 무장 단체를 재편하여 행동을 재개하였다. 총사령관 양세봉의 지휘 아래 이 부대는 대도회 등과 함께 한중 연합군을 편성하여 소양구에 이어 영릉가를 점령하였다.\n밑줄 그은 ‘이 부대’에 대한 설명으로 옳은 것은?\n일본군의 공세를 피해 자유시로 이동하였다.\n흥경성 전투에서 일본군을 격퇴하였다.\n이른바 남한 대토벌 작전으로 큰 피해를 입었다.\n영국군의 요청으로 인도·미얀마 전선에 파견되었다.\n한국인 유격대를 중심으로 조국 광복회를 조직하였다.""}]",source-candidate:a14abbce2fffc6b9daa8,AKS:ARTICLE:E0054157:sha256-704d8ea620c542f5,AKS,5,지리산 공비토벌작전,name,name_ngram,0.275,COMPATIBLE,"[""지리산공비토벌작전""]","[""智異山"", ""共匪討伐作戰""]","[""현대""]",,,[],Event,"{""headword"": ""지리산 공비토벌작전"", ""origin"": ""智異山 共匪討伐作戰"", ""headword_origin"": ""지리산 공비토벌작전(智異山 共匪討伐作戰)"", ""primary_type"": ""사건/전쟁"", ""era"": ""현대"", ""definition"": ""한국전쟁 후 월북하지 못하고 빨치산으로 남아있던 지리산지역의 공비들을 토벌하기 위한 군·경 합동작전.""}","[{""left_source_candidate_id"": ""source-candidate:2447ef3f1ab31b2f37ac"", ""right_source_candidate_id"": ""source-candidate:a14abbce2fffc6b9daa8"", ""signals"": [], ""conflicts"": [""entity_type_conflict""], ""merge_eligible"": false}, {""left_source_candidate_id"": ""source-candidate:7a6dc9f945c1b32c1cf2"", ""right_source_candidate_id"": ""source-candidate:a14abbce2fffc6b9daa8"", ""signals"": [""normalized_name_match"", ""era_overlap""], ""conflicts"": [], ""merge_eligible"": true}]",,,,,,,,
