review_status,suggested_label,review_note,ml_sequence_index,round_no,question_no,problem_id,actual_label,predicted_label,era,original_topic,topic_train,question_type,question_subtype,core_concept,text_preview,is_correct
,,,10,47,10,cj_v41_0009,사건,정치,삼국 시대,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,가 후백제,"우리 박물관에서는 전주 동고산성 발굴 특별 전시회를 개최합니다. 동고산성에서는 '전주성' 명문 수막새 등 견훤이 세운 (가)와 관련된 유물이 출토되었다. 이번 전시회를 통해 후당, 오월과 교류한 (가)의 모습을 살펴볼 수 있을 것이다. - 기간: 2020년 ○○월 ○○일 ~ ○○월 ○○일 - 장소: △△ 박물관 특별 전시실 (가) 국가에 대한 설명으로 옳은 것은? [키워드] 견훤 [Core Concept] 가 후백제",False
,,,12,47,12,cj_v41_0011,제도,정치,남북국 시대,제도,제도,연대기의 파악,전후 시기 판단,고려 시대,"벽란정은 예성항 연안에 있으며, 개경에서 30리 떨어져 있다. 사신(使臣)의 배가 연안에 닿으면 군사들이 금고(金鼓)를 울리며 조서(詔書)를 맞아 인도하여 벽란정에 들어간다. 벽란정은 두 채로 되어 있는데, 서쪽의 것은 우벽란정이라 부르며 조서를 봉안하고, 동쪽의 것은 좌벽란정이라 부르며 정사·부사를 접대한다. …… 사신이 개경으로 들어가면 그들이 타고 온 배들은 예성항 내에 정박하게 되므로 뱃사람은 순서를 정해 이곳에서 배를 지킨다. 다음 자료의 상황이 ...",False
,,,20,47,20,cj_v41_0018,제도,문화,고려,제도,제도,역사 탐구의 설계 및 수행,자료 수집·검색 방법,향교,"역사 통합 검색 백과사전 검색 결과 조선 시대에 유학 교육을 위해 지방에 설립된 교육 기관이다. 대부분 관아 가까운 곳에 있었으며, 대성전 중심의 제사 공간과 명륜당 중심의 강학 공간으로 이루어졌다. 입학 정원은 고을의 위상과 크기에 따라 달랐으며, 학생들은 소학과 사서오경을 주로 배웠다. 다음 검색창에 들어갈 교육 기관에 대한 설명으로 옳은 것은? [키워드] 조선 교육 [Core Concept] 향교",False
,,,25,47,25,cj_v41_0023,정치,문화,고려,사회,정치,연대기의 파악,전후 시기 판단,조선 후기,"경상도 향촌의 오래되고 유력한 가문은 구향이라 불렸고, 새롭게 성장한 세력은 신향이라 불렸다. 이들은 향교와 서원 운영, 향촌 지배권을 둘러싸고 자주 대립하였다. 다음 상황이 나타난 시기에 볼 수 있는 모습으로 적절한 것을 ＜보기＞에서 고른 것은? [키워드] 향교 서원 향촌 [Core Concept] 조선 후기",False
,,,31,47,31,cj_v41_0028,사건,정치,조선,사건,사건,역사 지식의 이해,기본 사실·개념 확인,황쭌쉔,"현재 조선에 가장 시급한 외교 사안이 무엇이라고 생각하십니까? 러시아를 막는 것이다. 이를 위해서는 중국을 가까이하고, 일본과 관계를 공고히 하며, 미국과 연계하여 자강을 도모해야 합니다. - 황준헌, 조선책략 - 다음 가상 대화 이후 전개된 사실로 옳은 것을 ＜보기＞에서 고른 것은? [키워드] 조선책략 황준헌 조선 외교 [Core Concept] 황쭌쉔",False
,,,52,48,2,cj_v41_0048,정치,문화,삼국 시대,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,이 나라'가 고구려,"이 나라에는 상가, 대로, 패자, 고추가, 주부, 우태, 승, 사자, 조의, 선인 등의 관등이 있었다. 제가들이 회의를 열어 중대한 일을 결정하였고, 범죄자는 즉시 처벌하였다. - 삼국지 동이전 - ‘이 나라’에 대한 설명으로 옳은 것은? [키워드] 이 나라'가 고구려 [Core Concept] 이 나라'가 고구려",False
,,,72,48,22,cj_v41_0067,인물,사건,조선,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,이 전쟁'이 병자호란(1636,소현 세자께서 돌아가셨다네. 그런데 시신이 검은빛이었고 이목구비에서 모두 피가 출러 나왔다는군. 이 전쟁에 패하여 청에 인질로 갔다가 8년 만에 돌아오실 때도 건강하셨던 세자께서 어찌 두 달 만에 그리되셨는가? ‘이 전쟁’ 중에 있었던 사실로 옳은 것은? [키워드] 전쟁 [Core Concept] 이 전쟁'이 병자호란(1636,False
,,,83,48,33,cj_v41_0078,사건,제도,조선,사건,사건,연대기의 파악,사건·자료 순서 배열,갑오개혁,(가) 1. 지금부터는 국내외의 공사(公私) 문서에 개국기년(開國紀年)을 쓴다. 1. 과부가 재혼하는 것은 귀천을 막론하고 자신의 의사대로 하게 한다. 1. 공노비와 사노비에 관한 법을 일체 혁파하고 사람을 사고파는 일을 금지한다. (나) 이번 단발은 위생에 이익이 되고 일을 할 때 편하기 위하여 우리 성상 폐하께서 정치 개혁과 국가의 부강함을 도모하고자 솔선하여 표준을 보이심이라. 무릇 우리 대조선국 인민은 이와 같은 성의를 본받되 의관 제도는 다음과 같...,False
,,,121,49,21,cj_v41_0116,정치,사건,조선,군사,정치,연대기의 파악,사건·자료 순서 배열,임진왜란,주제: 임진왜란 때 수군의 활약 욕포에서 26칙의 적선은 걱파하는 전과루 올렉어 견내량에 머로민 왜군을 한산도 앞바다로 유인하여 학익진 전술을 펼쳐 물리워어 10여 척의 배로 명량에서 대승은 거두없어 (가) (나) (다) (가)~(다) 학생이 발표한 내용을 일어난 순서대로 옳게 나열한 것은? [키워드] 임진왜란 한산도 [Core Concept] 임진왜란,False
,,,200,50,50,cj_v41_img_50_50,사건,정치,현대,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,광주 대단지 사건,"신문 기사: 광주 대단지 주민 5만여 명, 대규모 시위 다음 기사의 사건이 일어난 정부 시기의 통일 정책으로 옳은 것은? [키워드] 통일 사건 [Core Concept] 광주 대단지 사건",False
