question_no,problem_id,true_era,pred_era,true_topic_train,pred_topic_train,true_topic,pred_topic,is_correct_era,is_correct_topic_train,is_correct_topic,text
2,cj_v41_1243,삼국 시대,삼국 시대,정치,사건,외교,사건,True,False,False,"(가) 연개소문은 왕의 조카인 장을 왕으로 세우고 스스로 막리지가 되었다. 그 관직은 당의 병부상서 겸 중서령의 직임과 같다. (나) 검모잠은 남은 백성을 모아 궁모성에서 패강 남쪽으로 내려와 당나라 관인 및 승려 법안 등을 죽이고 신라로 향하였다. 사야도에 이르러 고구려 대신 연정토의 아들 안승을 알현하고, 한성으로 모셔와 임금으로 받들었다.
(가), (나) 사이의 시기에 있었던 사실로 옳은 것은?

[키워드] 연개소문 집권과 고구려 부흥 운동 사이의 나당 군사 동맹 체결 시기"
3,cj_v41_1244,삼국 시대,초기 국가,정치,정치,정치,정치,False,True,True,"이 그림은 (가) 의 시조인 이진아시왕의 표준 영정이다. 신증동국여지승람 등의 기록에 따르면 수로왕과 형제인 그는 고령 일대를 중심으로 나라를 세웠다고 합니다.
(가) 나라에 대한 설명으로 옳은 것은?

[키워드] 대가야의 성립과 신라 복속"
5,cj_v41_1245,삼국 시대,삼국 시대,정치,인물,군사,인물,True,False,False,"0 고구려가 군사를 일으켜 쳐들어왔다. 왕이 듣고 군사를 패하(浿河) 가에 매복시켜 그들이 이르기를 기다렸다가 급히 치니 고구려 군사가 패배하였다. 0 옛 기록에 이르기를, “백제는 나라를 연 이래 문자로 일을 기록한 적이 없는데 이 왕 때에 이르러 박사 고흥을 얻어 처음으로 서기가 있게 되었다. ”라고 하였다.
밑줄 그은 '왕'에 대한 설명으로 옳은 것은?

[키워드] 근초고왕의 고구려 공격과 고국원왕 전사"
6,cj_v41_img_73_06,삼국 시대,삼국 시대,문화,인물,문화,문화,True,False,True,"디지털 실감 영상으로 재현한 고구려의 문화유산 우리 박물관은 '영락' 이라는 연호를 사용한 왕의 능비를 디지털 영상으로 복원하여 선보이고자 합니다. 네 면에 새겨진 1,700여 개의 문자와 능비의 실물 크기, 표면 질감을 생성하게 재현하였습니다. 한편, 이번 전시에서는 그의 시호가 새겨진 문화유산도 함께 전시할 예정이오니 많은 관심 부탁드립니다.
다음 특별전에 전시될 문화유산으로 가장 적절한 것은?

[키워드] 광개토 대왕과 호우명 그릇으로 대표되는 고구려 문화유산"
11,cj_v41_1250,고려,고려,정치,인물,정치,인물,True,False,False,"스학년 A반 스A번 이름
(가) 왕에 대한 설명으로 옳은 것은?

[키워드] 고려 성종의 통치와 최승로의 시무 28조"
12,cj_v41_1251,고려,고려,정치,제도,경제,제도,True,False,False,"무릇 장마• 가뭄• 병충해 • 서리 피해로 작황이 부실한 경작지를 촌전(村典)*이 수령에게 보고하면 수령이 직접 검사하여 호부에 신고 하고, 호부에서는 다시 삼사에 보낸다. 삼사에서는 넘겨받은 문서를 조사한 뒤에 다시 그 지역 안찰사로 하여금 따로 사람을 보내 자세히 살펴 조사하게 하여 재해로 피해를 입었다면 조세를 감면한다. *촌전: 촌의 대표
다음 상황이 나타난 국가의 경제 모습으로 옳은 것은?

[키워드] 고려의 재해 피해 경작지 조세 감면 제도와 경제 모습"
13,cj_v41_1252,고려,고려,사건,인물,사건,인물,True,False,False,"원문 이미지 시기 2년 5년 7년 23년 내 용 이자겸의 셋째 딸을 왕비로 맞아들이다 척준경과 그 일당을 유배 보내다 금에 충성을 맹세하는 표문을 올리다 김부식이 삼국사기를 편친해 바치다
다음 검색창에 들어갈 왕의 재위 시기에 있었던 사실로 옳 은 것은?

[키워드] 고려 인종 재위와 묘청의 서경 난"
14,cj_v41_img_73_14,고려,고려,제도,사건,제도,사건,True,False,False,"망이 등이 홍경원에 불을 지르고 절에 있던 승려 10여인을 죽였으며, 주지승을 위협하여 개경으로 서신을 가져 가게 하었다. 그 서신에 대략 이르기를, '이미 우리 고을을 현으로 승격시키고 또 수령을 두어 안무하더니, 돌이켜 다시 군대를 내어 토벌하러 와서 우리 어머니와 아내를 옥에 가두었으니 그 뜻은 어디에 있는가? 차라리 칼날 아래 죽을지언정 끝내 항복하여 포로가 되지 않을 것이며, 반드시 개경까지 가고야 말겠다.'라고 하였다.
다음 사건에 대한 탐구 활동으로 가장 적절한 것은?

[키워드] 망이·망소이의 난과 소민 차별"
17,cj_v41_1255,고려,고려,인물,사건,인물,인물,True,False,True,"(가) 께서 돌아가신 뒤 어린 왕을 새로 옹립한 이인임이 원과의 관계 회복에 나섰다는군. 나도 들었네. 기철 세력을 숙청하고, 쌍성총관부를 수복했던 (가) 의 정책이 중단될까 염려되네.
(가) 왕의 재위 시기에 있었던 사실로 옳은 것은?

[키워드] 공민왕 재위기의 신돈 주도 전민변정 사업"
18,cj_v41_1256,고려,고려,정치,사건,군사,군사,True,False,True,"5 •
(가)에 대한 고려의 대응으로 옳은 것은?

[키워드] 왜구의 침입과 고려의 대마도 정벌"
27,cj_v41_img_73_27,조선,조선,인물,제도,인물,인물,True,False,True,"(가)어진 이 그림은 (가) 왕의 초상화로, 조선 시대에 그려진 현존하는 어진 가운데 군복을 입고 있는 유일한 사례이다. 강화 도령으로 불렸던 그는 안동 김씨인 순원 왕후의 명으로 왕위에 올랐지만, 임술 농민 봉기가 일어나는 등 혼란한 상황 속에서 승하하였디. 6.25 전쟁 때 화재로 어진의 일부가 소실되었다.
(가) 왕의 재위 시기에 있었던 사실로 옳은 것은?

[키워드] 철종 재위기의 삼정이정청 설치"
32,cj_v41_1268,개항기,개항기,정치,사건,외교,외교,True,False,True,"제AA호 0000년 00월 00일 시전 상인, 외국 상인의 퇴거를 요구하다 며칠 전 시전 상인 수백 명이 가게 문을 닫고 외아문(통리교섭 통상사무아문) 앞에서 연좌시위를 시작하였다. 시전 상인들은 몇 해 전부터 외국 상인의 한성 침투로 인해 입는 피해가 크다는 점을 주장하며 퇴거를 요구하였다. 향후 정부가 이 문제를 어떻게 해결해 나갈 것인지 귀추가 주목된다.
다음 상황의 배경으로 가장 적절한 것은?

[키워드] 조청 상민 수륙 무역 장정 체결로 인한 청 상인의 한성 진출"
37,cj_v41_1273,일제 강점기,일제 강점기,정치,제도,경제,제도,True,False,False,"이것은 어느 공립 보통학교의 졸업식 사진으로, 교원이 제복을 입고 칼을 차고 수업하던 당시 일제의 식민지 지배 정책을 잘 보여주고 있어. 맞아 헌병이 일반 경찰 업무를 맡아 재판 없이 체포 또는 구금하고, 벌금을 물리거나 태형에 처하기도 했던 시기였지 1
밑줄 그은 '시기'에 시행된 일제의 정책으로 옳은 것은?

[키워드] 일제 강점기 무단 통치 시기의 토지 조사 사업"
38,cj_v41_1274,일제 강점기,일제 강점기,인물,사건,인물,사건,True,False,False,"한 나라 한 사회나 한 집안의 장래를 맡은 사람은 누구인가. 곧 그 집안이나 그 사회나 그 나라의 아들과 손자일 것이다. (가 은/는 어린이를 위한 부모의 도움이 두터워지기를 바라는 마음에서 5월 1일 오늘을 기회로 삼아 '어린이의 날'이라고 이름하고, 소년 회원이 거리마다 늘어서서 “항상 10년 후의 조선을 생각하십시오.”라고 쓴 인쇄물을 배포하며 취지를 선전했다. 이러한 일은 조선 소년 운동의 처음이며, 다른 사회에서도 많이 응원하여 노력하기를 바란다.
(가) 단체에 대한 설명으로 옳은 것은?

[키워드] 천도교 소년회와 방정환·김기전의 소년 운동"
