source_record_id,canonical_id,match_status,method,version,term_decision_id,graph_release_id
THESAURUS:TERM:8998:sha256-1022516a18f91e61,canonical:event:da88d924-c932-4bbf-a568-9f3bffc8d42a,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:0587c10cb07256185197,korean-history-fact-graph-2026-07-28-contextual-v7
THESAURUS:TERM:8997:sha256-1022516a18f91e61,canonical:event:da88d924-c932-4bbf-a568-9f3bffc8d42a,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:0587c10cb07256185197,korean-history-fact-graph-2026-07-28-contextual-v7
AKS:ARTICLE:E0065371:sha256-7515b6340166226d,canonical:event:da88d924-c932-4bbf-a568-9f3bffc8d42a,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:0587c10cb07256185197,korean-history-fact-graph-2026-07-28-contextual-v7
THESAURUS:TERM:8996:sha256-1022516a18f91e61,canonical:event:da88d924-c932-4bbf-a568-9f3bffc8d42a,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:0587c10cb07256185197,korean-history-fact-graph-2026-07-28-contextual-v7
ITKC:PERSON:P059463:sha256-2bfbf7f8ab4b1538,canonical:person:07150a06-1d58-44fd-a307-5253a4145cf7,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:7060ffea3767dce257c4,korean-history-fact-graph-2026-07-28-contextual-v7
AKS:ARTICLE:E0055748:sha256-7515b6340166226d,canonical:person:07150a06-1d58-44fd-a307-5253a4145cf7,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:7060ffea3767dce257c4,korean-history-fact-graph-2026-07-28-contextual-v7
THESAURUS:TERM:21559:sha256-1022516a18f91e61,canonical:person:07150a06-1d58-44fd-a307-5253a4145cf7,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:7060ffea3767dce257c4,korean-history-fact-graph-2026-07-28-contextual-v7
THESAURUS:TERM:21121:sha256-1022516a18f91e61,canonical:person:a9af0e38-9176-4f53-9c1e-facb22d7db5f,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:040780d0032800904b15,korean-history-fact-graph-2026-07-28-contextual-v7
AKS:ARTICLE:E0020279:sha256-7515b6340166226d,canonical:person:a9af0e38-9176-4f53-9c1e-facb22d7db5f,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:040780d0032800904b15,korean-history-fact-graph-2026-07-28-contextual-v7
ITKC:PERSON:P014926:sha256-2bfbf7f8ab4b1538,canonical:person:a9af0e38-9176-4f53-9c1e-facb22d7db5f,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:040780d0032800904b15,korean-history-fact-graph-2026-07-28-contextual-v7
ITKC:PERSON:P060470:sha256-2bfbf7f8ab4b1538,canonical:person:1e581f6f-499f-4590-b4f3-03965dbfc043,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:22e6251637377cc51c89,korean-history-fact-graph-2026-07-28-contextual-v7
AKS:ARTICLE:E0057440:sha256-7515b6340166226d,canonical:person:1e581f6f-499f-4590-b4f3-03965dbfc043,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:22e6251637377cc51c89,korean-history-fact-graph-2026-07-28-contextual-v7
THESAURUS:TERM:21562:sha256-1022516a18f91e61,canonical:person:1e581f6f-499f-4590-b4f3-03965dbfc043,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:22e6251637377cc51c89,korean-history-fact-graph-2026-07-28-contextual-v7
THESAURUS:TERM:21660:sha256-1022516a18f91e61,canonical:person:5d2d2162-0645-48ef-a050-4153581da296,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:abf5aa8142926c4958f6,korean-history-fact-graph-2026-07-28-contextual-v7
ITKC:PERSON:P002813:sha256-2bfbf7f8ab4b1538,canonical:person:5d2d2162-0645-48ef-a050-4153581da296,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:abf5aa8142926c4958f6,korean-history-fact-graph-2026-07-28-contextual-v7
AKS:ARTICLE:E0006938:sha256-7515b6340166226d,canonical:person:5d2d2162-0645-48ef-a050-4153581da296,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:abf5aa8142926c4958f6,korean-history-fact-graph-2026-07-28-contextual-v7
THESAURUS:TERM:22912:sha256-1022516a18f91e61,canonical:person:83229a0b-29ef-4fee-a21f-417fbf10790e,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:a64b72d675e9f6e796b4,korean-history-fact-graph-2026-07-28-contextual-v7
ITKC:PERSON:P027768:sha256-2bfbf7f8ab4b1538,canonical:person:83229a0b-29ef-4fee-a21f-417fbf10790e,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:a64b72d675e9f6e796b4,korean-history-fact-graph-2026-07-28-contextual-v7
AKS:ARTICLE:E0035852:sha256-7515b6340166226d,canonical:person:83229a0b-29ef-4fee-a21f-417fbf10790e,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:a64b72d675e9f6e796b4,korean-history-fact-graph-2026-07-28-contextual-v7
ITKC:PERSON:P010100:sha256-2bfbf7f8ab4b1538,canonical:person:4f5713c3-46c4-42d0-9779-5789f6e2885b,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:1f907f38233596ae7eab,korean-history-fact-graph-2026-07-28-contextual-v7
AKS:ARTICLE:E0010428:sha256-7515b6340166226d,canonical:person:4f5713c3-46c4-42d0-9779-5789f6e2885b,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:1f907f38233596ae7eab,korean-history-fact-graph-2026-07-28-contextual-v7
THESAURUS:TERM:21080:sha256-1022516a18f91e61,canonical:person:4f5713c3-46c4-42d0-9779-5789f6e2885b,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:1f907f38233596ae7eab,korean-history-fact-graph-2026-07-28-contextual-v7
